연령별,기준년도,사고유형,구분,구분값
65세이상,2018,차대차,사망자수[명],379
65세이상,2018,차대차,부상자수[명],35598
65세이상,2018,차량단독,사고건수[건],1671
65세이상,2018,차량단독,사망자수[명],257
65세이상,2018,차량단독,부상자수[명],1869
65세이상,2018,철길건널목,사고건수[건],1
65세이상,2018,철길건널목,사망자수[명],1
65세이상,2018,철길건널목,부상자수[명],0
65세이상,2019,차대사람,사고건수[건],6162
65세이상,2019,차대사람,사망자수[명],188
65세이상,2019,차대사람,부상자수[명],6319
65세이상,2019,차대차,사고건수[건],25295
65세이상,2019,차대차,사망자수[명],366
65세이상,2019,차대차,부상자수[명],39818
65세이상,2019,차량단독,사고건수[건],1781
65세이상,2019,차량단독,사망자수[명],215
65세이상,2019,차량단독,부상자수[명],2085
65세이상,2019,철길건널목,사고건수[건],1
65세이상,2019,철길건널목,사망자수[명],0
65세이상,2019,철길건널목,부상자수[명],1
65세이상,2020,차대사람,사고건수[건],5156
65세이상,2020,차대사람,사망자수[명],183
65세이상,2020,차대사람,부상자수[명],5256
65세이상,2020,차대차,사고건수[건],24329
65세이상,2020,차대차,사망자수[명],319
65세이상,2020,차대차,부상자수[명],37276
65세이상,2020,차량단독,사고건수[건],1586
65세이상,2020,차량단독,사망자수[명],218
65세이상,2020,차량단독,부상자수[명],1735
65세이상,2020,철길건널목,사고건수[건],1
65세이상,2020,철길건널목,사망자수[명],0
65세이상,2020,철길건널목,부상자수[명],2
65세이상,2021,차대사람,사고건수[건],5350
65세이상,2021,차대사람,사망자수[명],163
65세이상,2021,차대사람,부상자수[명],5483
65세이상,2021,차대차,사고건수[건],24956
65세이상,2021,차대차,사망자수[명],321
65세이상,2021,차대차,부상자수[명],37535
65세이상,2021,차량단독,사고건수[건],1535
65세이상,2021,차량단독,사망자수[명],225
65세이상,2021,차량단독,부상자수[명],1695
65세이상,2022,차대사람,사고건수[건],6313
65세이상,2022,차대사람,사망자수[명],168
65세이상,2022,차대사람,부상자수[명],6521
65세이상,2022,차대차,사고건수[건],26641
65세이상,2022,차대차,사망자수[명],313
65세이상,2022,차대차,부상자수[명],40870
65세이상,2022,차량단독,사고건수[건],1696
65세이상,2022,차량단독,사망자수[명],252
65세이상,2022,차량단독,부상자수[명],1889
65세이상,2022,철길건널목,사고건수[건],2
65세이상,2022,철길건널목,사망자수[명],2
65세이상,2022,철길건널목,부상자수[명],1
미분류,2018,차대사람,사고건수[건],1861
미분류,2018,차대사람,사망자수[명],1
미분류,2018,차대사람,부상자수[명],1882
미분류,2018,차대차,사고건수[건],2301
미분류,2018,차대차,사망자수[명],3
미분류,2018,차대차,부상자수[명],2825
미분류,2018,차량단독,사고건수[건],45
미분류,2018,차량단독,사망자수[명],0
미분류,2018,차량단독,부상자수[명],46
미분류,2019,차대사람,사고건수[건],1831
미분류,2019,차대사람,사망자수[명],0
미분류,2019,차대사람,부상자수[명],1842
미분류,2019,차대차,사고건수[건],2224
미분류,2019,차대차,사망자수[명],1
미분류,2019,차대차,부상자수[명],2647
미분류,2019,차량단독,사고건수[건],36
미분류,2019,차량단독,사망자수[명],0
미분류,2019,차량단독,부상자수[명],37
미분류,2020,차대사람,사고건수[건],1374
미분류,2020,차대사람,사망자수[명],0
미분류,2020,차대사람,부상자수[명],1389
미분류,2020,차대차,사고건수[건],2073
미분류,2020,차대차,사망자수[명],0
미분류,2020,차대차,부상자수[명],2433
미분류,2020,차량단독,사고건수[건],23
미분류,2020,차량단독,사망자수[명],0
미분류,2020,차량단독,부상자수[명],23
미분류,2021,차대사람,사고건수[건],1079
미분류,2021,차대사람,사망자수[명],0
미분류,2021,차대사람,부상자수[명],1087
미분류,2021,차대차,사고건수[건],1862
미분류,2021,차대차,사망자수[명],1
미분류,2021,차대차,부상자수[명],2169
미분류,2021,차량단독,사고건수[건],12
미분류,2021,차량단독,사망자수[명],0
미분류,2021,차량단독,부상자수[명],12
미분류,2022,차대사람,사고건수[건],1146
미분류,2022,차대사람,사망자수[명],0
미분류,2022,차대사람,부상자수[명],1155
미분류,2022,차대차,사고건수[건],1552
미분류,2022,차대차,사망자수[명],0
미분류,2022,차대차,부상자수[명],1903
미분류,2022,차량단독,사고건수[건],16
미분류,2022,차량단독,사망자수[명],0
미분류,2022,차량단독,부상자수[명],21
