연령별,기준년도,법규위반내용,사고건수
31~40세,2020,부당한회전,165
31~40세,2020,우선권양보불이행,2
31~40세,2020,진로양보불이행,8
31~40세,2020,안전운전의무불이행,17923
31~40세,2020,교차로운행방법위반,1990
31~40세,2020,보행자보호의무위반,915
31~40세,2020,차로위반(진로변경),516
31~40세,2020,직진우회전진행방해,969
31~40세,2020,기타,537
31~40세,2020,정비불량,1
31~40세,2021,앞지르기방법위반,20
31~40세,2021,앞지르기금지위반,46
31~40세,2021,중앙선침범,1217
31~40세,2021,신호위반,3583
31~40세,2021,안전거리미확보,3275
31~40세,2021,일시정지위반,110
31~40세,2021,부당한회전,195
31~40세,2021,우선권양보불이행,1
31~40세,2021,진로양보불이행,9
31~40세,2021,안전운전의무불이행,16938
31~40세,2021,교차로운행방법위반,1789
31~40세,2021,보행자보호의무위반,970
31~40세,2021,차로위반(진로변경),425
31~40세,2021,직진우회전진행방해,918
31~40세,2021,긴급차피양의무위반,1
31~40세,2021,기타,804
31~40세,2021,정비불량,3
31~40세,2022,앞지르기방법위반,17
31~40세,2022,앞지르기금지위반,54
31~40세,2022,중앙선침범,1021
31~40세,2022,신호위반,3275
31~40세,2022,안전거리미확보,2926
31~40세,2022,일시정지위반,111
31~40세,2022,부당한회전,166
31~40세,2022,진로양보불이행,8
31~40세,2022,안전운전의무불이행,16524
31~40세,2022,교차로운행방법위반,1565
31~40세,2022,보행자보호의무위반,915
31~40세,2022,차로위반(진로변경),364
31~40세,2022,직진우회전진행방해,808
31~40세,2022,철길건널목통과방법,2
31~40세,2022,긴급차피양의무위반,1
31~40세,2022,기타,644
31~40세,2022,정비불량,1
41~50세,2018,과로,1
41~50세,2018,과속,164
41~50세,2018,앞지르기방법위반,20
41~50세,2018,앞지르기금지위반,51
41~50세,2018,중앙선침범,1699
41~50세,2018,신호위반,4504
41~50세,2018,안전거리미확보,3953
41~50세,2018,일시정지위반,102
41~50세,2018,부당한회전,298
41~50세,2018,우선권양보불이행,3
41~50세,2018,진로양보불이행,8
41~50세,2018,안전운전의무불이행,23818
41~50세,2018,교차로운행방법위반,2953
41~50세,2018,보행자보호의무위반,1689
41~50세,2018,차로위반(진로변경),793
41~50세,2018,직진우회전진행방해,1195
41~50세,2018,기타,952
41~50세,2018,정비불량,1
41~50세,2019,과속,173
41~50세,2019,앞지르기방법위반,21
41~50세,2019,앞지르기금지위반,64
41~50세,2019,중앙선침범,1636
41~50세,2019,신호위반,4842
41~50세,2019,안전거리미확보,4286
41~50세,2019,일시정지위반,125
41~50세,2019,부당한회전,259
41~50세,2019,우선권양보불이행,10
41~50세,2019,진로양보불이행,10
41~50세,2019,안전운전의무불이행,24226
41~50세,2019,교차로운행방법위반,3193
41~50세,2019,보행자보호의무위반,1762
41~50세,2019,차로위반(진로변경),749
41~50세,2019,직진우회전진행방해,1435
41~50세,2019,긴급차피양의무위반,1
41~50세,2019,기타,974
41~50세,2019,정비불량,3
41~50세,2020,과속,148
41~50세,2020,앞지르기방법위반,23
41~50세,2020,앞지르기금지위반,52
41~50세,2020,중앙선침범,1405
41~50세,2020,신호위반,4084
41~50세,2020,안전거리미확보,3924
41~50세,2020,일시정지위반,135
41~50세,2020,부당한회전,249
41~50세,2020,우선권양보불이행,1
41~50세,2020,진로양보불이행,13
41~50세,2020,안전운전의무불이행,21327
41~50세,2020,교차로운행방법위반,2760
41~50세,2020,보행자보호의무위반,1218
41~50세,2020,차로위반(진로변경),648
41~50세,2020,직진우회전진행방해,1180
41~50세,2020,기타,865
41~50세,2020,정비불량,4
41~50세,2021,과로,1
41~50세,2021,앞지르기방법위반,17
41~50세,2021,앞지르기금지위반,64
41~50세,2021,중앙선침범,1393
41~50세,2021,신호위반,4213
41~50세,2021,안전거리미확보,3655
41~50세,2021,일시정지위반,141
41~50세,2021,부당한회전,228
41~50세,2021,우선권양보불이행,1
41~50세,2021,진로양보불이행,7
41~50세,2021,안전운전의무불이행,20405
41~50세,2021,교차로운행방법위반,2336
41~50세,2021,보행자보호의무위반,1285
41~50세,2021,차로위반(진로변경),561
41~50세,2021,직진우회전진행방해,1167
